7652
133	179	137	363	
111	159	221	291	
123	163	149	395	
129	91	339	475	
127	95	461	387	
125	191	139	363	
125	175	151	371	
79	155	373	275	
71	207	205	523	
85	163	247	339	
121	131	253	267	
127	123	325	259	
129	251	277	147	
107	127	209	499	
147	211	127	323	
111	227	171	299	
93	191	187	387	
101	195	163	435	
77	119	301	491	
77	123	297	491	
89	199	201	339	
71	219	185	563	
109	183	255	219	
125	119	199	403	
91	231	145	483	
135	99	315	427	
63	235	241	419	
121	91	337	603	
103	159	375	195	
75	243	201	387	
85	171	243	331	
87	155	263	307	
99	179	251	259	
139	175	167	259	
83	199	215	371	
127	243	469	99	
123	235	457	107	
77	127	357	395	
97	163	303	235	
95	267	141	435	
101	199	251	211	
63	243	341	235	
117	271	449	107	
121	159	173	339	
141	79	407	515	
99	195	201	307	
125	191	359	155	
77	179	251	379	
83	143	277	331	
141	167	121	459	
143	179	111	507	
73	207	345	203	
77	167	235	483	
101	151	281	243	
61	167	343	435	
67	223	255	323	
75	235	243	323	
91	167	253	283	
101	115	359	315	
103	163	257	259	
93	139	227	427	
113	163	221	267	
105	191	229	243	
109	163	261	243	
65	239	201	515	
65	211	231	467	
79	239	193	395	
91	167	225	347	
101	219	185	331	
105	159	257	259	
109	139	259	267	
97	167	209	331	
139	87	359	507	
109	155	173	475	
91	179	193	411	
101	167	171	475	
123	115	207	419	
113	259	427	115	
117	187	175	283	
85	207	181	427	
97	111	319	427	
101	131	269	315	
131	203	249	179	
89	155	313	251	
83	179	231	331	
101	171	203	307	
117	183	133	499	
157	255	105	411	
191	315	67	787	
187	347	69	795	
191	335	69	755	
75	179	239	411	
197	303	67	731	
103	171	245	251	
87	159	227	403	
83	151	243	427	
89	219	175	387	
125	111	299	355	
85	151	353	259	
87	147	349	275	
71	167	361	299	
85	139	349	283	
63	171	291	419	
133	91	283	507	
87	263	227	259	
99	227	155	411	
125	143	153	499	
123	163	143	427	
61	211	293	363	
73	211	309	235	
173	267	95	507	
87	147	235	427	
65	163	383	339	
97	167	281	235	
115	111	239	435	
123	211	141	339	
83	159	317	267	
77	191	207	451	
81	167	259	339	
129	143	163	371	
135	151	163	331	
93	159	243	323	
129	211	439	115	
111	251	159	323	
93	175	215	347	
71	231	221	395	
59	215	333	315	
87	279	415	147	
75	163	285	339	
117	231	221	219	
79	211	343	179	
91	207	263	211	
89	139	265	307	
91	147	255	307	
117	279	277	155	
125	251	217	187	
89	199	175	435	
87	239	161	419	
71	167	307	323	
105	255	423	123	
117	199	155	315	
85	223	201	323	
99	239	167	371	
87	191	265	243	
91	171	279	243	
83	191	273	259	
101	231	133	459	
107	143	405	211	
61	267	377	227	
127	179	273	195	
75	163	253	515	
55	275	341	275	
113	151	207	307	
121	179	237	203	
121	191	223	219	
127	187	319	171	
91	231	155	427	
85	223	271	219	
75	167	265	371	
79	271	149	523	
71	223	201	443	
69	231	203	475	
101	115	231	483	
111	163	185	355	
97	163	219	347	
137	319	95	651	
121	239	325	139	
113	247	217	219	
87	219	405	155	
83	171	337	227	
121	87	391	531	
93	239	167	387	
93	259	163	379	
105	211	161	355	
119	239	295	147	
79	159	239	483	
51	219	317	515	
99	195	233	243	
87	227	337	163	
109	223	135	443	
115	235	219	219	
105	235	133	435	
